word,letter_count,syllable_count,phoneme_count,phonemes_arpabet,preschool_prep_level,dolch_level,fry_rank,fry_hundred,other_lists,source_count,suggested_order,syllable_split,syllable_split_status,digraphs,blends,vowel_patterns,decodable_guess
drink,5,1,5,D R IH NG K,,3rd Grade,,,,1,221,,,,dr-;-nk,,yes
laugh,5,1,3,L AE F,,3rd Grade,,,,1,222,,,,,team:augh,no
myself,6,2,6,M AY S EH L F,,3rd Grade,,,,1,223,my-self,ok,,-lf,,yes
time,4,1,3,T AY M,,Nouns,68,1st 100,,2,224,,,,,VCe,yes
way,3,1,2,W EY,,Nouns,78,1st 100,,2,225,,,,,team:ay,yes
water,5,2,4,W AO T ER,,Nouns,84,1st 100,,2,226,wa-ter,ok,,,r-controlled:er,no
day,3,1,2,D EY,,Nouns,94,1st 100,,2,227,,,,,team:ay,yes
back,4,1,3,B AE K,,Nouns,113,2nd 100,,2,228,,,ck,,,yes
name,4,1,3,N EY M,,Nouns,121,2nd 100,,2,229,,,,,VCe,yes
man,3,1,3,M AE N,,Nouns,124,2nd 100,,2,230,,,,,,yes
boy,3,1,2,B OY,,Nouns,141,2nd 100,,2,231,,,,,team:oy,yes
men,3,1,3,M EH N,,Nouns,168,2nd 100,,2,232,,,,,,yes
home,4,1,3,HH OW M,,Nouns,173,2nd 100,,2,233,,,,,VCe,yes
hand,4,1,4,HH AE N D,,Nouns,178,2nd 100,,2,234,,,,-nd,,yes
picture,7,2,5,P IH K CH ER,,Nouns,179,2nd 100,,2,235,pic-ture,ok,,,r-controlled:ur,no
house,5,1,3,HH AW S,,Nouns,188,2nd 100,,2,236,,,,,team:ou,yes
letter,6,2,4,L EH T ER,,Nouns,191,2nd 100,,2,237,let-ter,ok,,,r-controlled:er,yes
mother,6,2,4,M AH DH ER,,Nouns,192,2nd 100,,2,238,moth-er,ok,th,,r-controlled:er,no
school,6,1,4,S K UW L,,Nouns,212,3rd 100,,2,239,,,ch,sc-,team:oo,no
father,6,2,4,F AA DH ER,,Nouns,213,3rd 100,,2,240,fa-ther,ok,th,,r-controlled:er,no
tree,4,1,3,T R IY,,Nouns,215,3rd 100,,2,241,,,,tr-,team:ee,yes
head,4,1,3,HH EH D,,Nouns,223,3rd 100,,2,242,,,,,team:ea,yes
paper,5,2,4,P EY P ER,,Nouns,245,3rd 100,,2,243,pa-per,ok,,,r-controlled:er,yes
children,8,2,7,CH IH L D R AH N,,Nouns,253,3rd 100,,2,244,chil-dren,ok,ch,,,yes
feet,4,1,3,F IY T,,Nouns,255,3rd 100,,2,245,,,,,team:ee,yes
car,3,1,3,K AA R,,Nouns,256,3rd 100,,2,246,,,,,r-controlled:ar,yes
night,5,1,3,N AY T,,Nouns,258,3rd 100,,2,247,,,,,team:igh,yes
watch,5,1,3,W AA CH,,Nouns,281,3rd 100,,2,248,,,tch,,,no
girl,4,1,3,G ER L,,Nouns,288,3rd 100,,2,249,,,,,r-controlled:ir,yes
song,4,1,3,S AO NG,,Nouns,296,3rd 100,,2,250,,,ng,,,yes
sun,3,1,3,S AH N,,Nouns,305,4th 100,,2,251,,,,,,yes
fish,4,1,3,F IH SH,,Nouns,307,4th 100,,2,252,,,sh,,,yes
dog,3,1,3,D AO G,,Nouns,310,4th 100,,2,253,,,,,,yes
horse,5,1,4,HH AO R S,,Nouns,311,4th 100,,2,254,,,,,r-controlled:or,yes
door,4,1,3,D AO R,,Nouns,328,4th 100,,2,255,,,,,team:oo,no
top,3,1,3,T AA P,,Nouns,331,4th 100,,2,256,,,,,,yes
wind,4,1,4,W AY N D,,Nouns,352,4th 100,,2,257,,,,-nd,,yes
morning,7,2,6,M AO R N IH NG,,Nouns,363,4th 100,,2,258,morn-ing,ok,ng,,r-controlled:or,yes
table,5,2,5,T EY B AH L,,Nouns,371,4th 100,,2,259,ta-ble,ok,,,,yes
money,5,2,4,M AH N IY,,Nouns,374,4th 100,,2,260,mon-ey,ok,,,team:ey,no
farm,4,1,4,F AA R M,,Nouns,376,4th 100,Fry alt edition (uniqueteachingresources #148),2,261,,,,,r-controlled:ar,yes
ground,6,1,5,G R AW N D,,Nouns,388,4th 100,,2,262,,,,gr-;-nd,team:ou,yes
wood,4,1,3,W UH D,,Nouns,398,4th 100,,2,263,,,,,team:oo,yes
fire,4,2,3,F AY ER,,Nouns,399,4th 100,,2,264,,pyphen_mismatch(fire),,,r-controlled:ir,no
box,3,1,4,B AA K S,,Nouns,408,5th 100,,2,265,,,,,,yes
street,6,1,5,S T R IY T,,Nouns,425,5th 100,,2,266,,,,str-,team:ee,yes
boat,4,1,3,B OW T,,Nouns,456,5th 100,,2,267,,,,,team:oa,yes
game,4,1,3,G EY M,,Nouns,457,5th 100,,2,268,,,,,VCe,yes
bread,5,1,4,B R EH D,,Nouns,482,5th 100,,2,269,,,,br-,team:ea,yes
ball,4,1,3,B AO L,,Nouns,492,5th 100,,2,270,,,,,,yes
rain,4,1,3,R EY N,,Nouns,533,6th 100,,2,271,,,,,team:ai,yes
window,6,2,5,W IH N D OW,,Nouns,541,6th 100,,2,272,win-dow,ok,,,team:ow,yes
brother,7,2,5,B R AH DH ER,,Nouns,562,6th 100,,2,273,broth-er,ok,th,br-,r-controlled:er,no
grass,5,1,4,G R AE S,,Nouns,579,6th 100,Fry alt edition (uniqueteachingresources #719),2,274,,,,gr-,,yes
snow,4,1,3,S N OW,,Nouns,614,7th 100,,2,275,,,,sn-,team:ow,yes
floor,5,1,4,F L AO R,,Nouns,617,7th 100,,2,276,,,,fl-,team:oo,no
hill,4,1,3,HH IH L,,Nouns,618,7th 100,,2,277,,,,,,yes
baby,4,2,4,B EY B IY,,Nouns,620,7th 100,,2,278,ba-by,ok,,,,yes
bed,3,1,3,B EH D,,Nouns,630,7th 100,,2,279,,,,,,yes
milk,4,1,4,M IH L K,,Nouns,663,7th 100,,2,280,,,,-lk,,yes
bear,4,1,3,B EH R,,Nouns,677,7th 100,,2,281,,,,,team:ea,yes
cat,3,1,3,K AE T,,Nouns,698,7th 100,Fry alt edition (uniqueteachingresources #673),2,282,,,,,,yes
